wallet_address,total_transactions,days_active,trading_frequency,initial_investment,final_portfolio_value,roi,activity_score,portfolio_volatility,loss_ratio,sharpe_ratio,score,rank
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,822,1,822.0,17.4941,7436789760.018864,42510273420.89484,822.0,15.493970996794284,0.0,2743665483.1540766,17552842711.58875,1
EwkH5aEmKEAC2M8eh8x8XVkNyPTZt1PSUH875bXrVmjP,838,1,838.0,17.4941,475467379.0099947,2717872662.8743105,838.0,24.895776265142413,0.0,109170030.84895629,1108983322.7195156,2
7PypumCQ4wco2bV4UAjCwbrdCdnWwyAacjxRhX3yuz8R,833,1,833.0,10698.0,490787285.536778,4587554.566617854,833.0,0.8368968949515446,0.0,5481624.551711914,2931596.6369895246,3
